,Student_Id,Sem,subject code,subject,subject_short,grade,credits
891,21pa1a6122,I B.Tech - II Semester,  20BS2T01,  MATHEMATICS-II (VECTOR CALCULUS & TRANSFORM CALCULUS), M-II,A,3
892,21pa1a6122,I B.Tech - II Semester,  20IT2T01,  PROGRAMMING FOR PROBLEM SOLVING, PPS,A,3
893,21pa1a6122,I B.Tech - II Semester,  20BS2T04,  APPLIED CHEMISTRY, AC,B,3
894,21pa1a6122,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
895,21pa1a6122,I B.Tech - II Semester,  20EC2T02,  DIGITAL LOGIC DESIGN, DLD,S,3
896,21pa1a6122,I B.Tech - II Semester,  20IT2P01,  PROGRAMMING FOR PROBLEM SOLVING LAB, PPS LAB,O,1.5
897,21pa1a6122,I B.Tech - II Semester,  20CS2P03,  COMPUTER ENGINEERING WORKSHOP LAB, CEW LAB,O,3
898,21pa1a6122,I B.Tech - II Semester,  20CS2P04,  ADVANCED PYTHON PROGRAMMING LAB, APP LAB,O,1.5
899,21pa1a6122,I B.Tech - II Semester,  20BS2P03,  APPLIED CHEMISTRY LAB, AC LAB,O,1.5
900,21pa1a6122,I B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 8.77
901,21pa1a6122,II B.Tech - I Semester,  20IT3T01,  Database Management Systems, DBMS,A,3
902,21pa1a6122,II B.Tech - I Semester,  20IT3T02,  Object Oriented Programming through Java, OOPthJAVA,S,3
903,21pa1a6122,II B.Tech - I Semester,  20BS3T02,  Probability & Statistics, P & S,S,3
904,21pa1a6122,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
905,21pa1a6122,II B.Tech - I Semester,  20IT3P02,  Object Oriented Programming through Java Lab, OOP th Java Lab,O,1.5
906,21pa1a6122,II B.Tech - I Semester,  20BS3T04,  Discrete Mathematical Structures, DMS,S,3
907,21pa1a6122,II B.Tech - I Semester,  20IT3P01,  Database Management Systems Lab, DBMS Lab,O,1.5
908,21pa1a6122,II B.Tech - I Semester,  20CS3T01,  Data Structures, DS,S,3
909,21pa1a6122,II B.Tech - I Semester,  20CS3P01,  Data Structures Lab, DS Lab,O,1.5
910,21pa1a6122,II B.Tech - I Semester,  20CS3P02,  Web Application Development Using Full Stack - Module - I, WADUFSM-I,O,2
911,21pa1a6122,II B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 9.16
912,21pa1a6122,II B.Tech - II Semester,  20CS4T02,  Operating Systems, OS,A,3
913,21pa1a6122,II B.Tech - II Semester,  20AD4T01,  Data warehousing and Mining, DWH&M,A,3
914,21pa1a6122,II B.Tech - II Semester,  20AM4T01,  Fundamentals of ArtificialIntelligence & MachineLearning, FAI&ML,S,3
