,Student_Id,Sem,subject code,subject,subject_short,grade,credits
155,21PA1A0104,II B.Tech - I Semester,0,0,0,0,Estimated Semester Grade Point Average(SGPA) : NAN
156,21PA1A0105,I B.Tech - I Semester,  20BS1T02,  MATHEMATICS-I (LINEAR ALGEBRA & CALCULUS), M-I,D,3
157,21PA1A0105,I B.Tech - I Semester,  20BS1T01,  COMMUNICATIVE ENGLISH, CE,C,3
158,21PA1A0105,I B.Tech - I Semester,  20CS1T01,  COMPUTATIONAL THINKING & PROGRAMMING, CT&P,C,3
159,21PA1A0105,I B.Tech - I Semester,  20BS1T03,  ENGINEERING PHYSICS, EP,D,3
160,21PA1A0105,I B.Tech - I Semester,  20ME1T01,  ENGINEERING GRAPHICS, EG,D,3
161,21PA1A0105,I B.Tech - I Semester,  20BS1P02,  ENGINEERING PHYSICS LAB, EP Lab,S,1.5
162,21PA1A0105,I B.Tech - I Semester,  20BS1P01,  ENGLISH COMMUNICATION SKILLS LAB, ECS Lab,S,1.5
163,21PA1A0105,I B.Tech - I Semester,  20CS1P01,  COMPUTATIONAL THINKING & PROGRAMMING LAB, CT&P Lab,S,1.5
164,21PA1A0105,I B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 6.23
165,21PA1A0105,I B.Tech - II Semester,  20BS2T01,  MATHEMATICS-II (VECTOR CALCULUS & TRANSFORM CALCULUS), M-II,D,3
166,21PA1A0105,I B.Tech - II Semester,  20BS2T02,  ENGINEERING CHEMISTRY, EG,B,3
167,21PA1A0105,I B.Tech - II Semester,  20CE2T02,  ENGINEERING MECHANICS, EM,C,3
168,21PA1A0105,I B.Tech - II Semester,  20CE2P01,  BUILDING PLANNING & COMPUTER AIDED BUILDING DRAWING, BP&CABD,A,1.5
169,21PA1A0105,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
170,21PA1A0105,I B.Tech - II Semester,  20CE2T01,  BUILDING MATERIAL AND CONCRETE TECHNOLOGY, BM&CT,C,3
171,21PA1A0105,I B.Tech - II Semester,  20ME2P01,  ENGINEERING WORKSHOP, EW,A,1.5
172,21PA1A0105,I B.Tech - II Semester,  20BS2P01,  ENGINEERING CHEMISTRY LAB, EC LAB,S,1.5
173,21PA1A0105,I B.Tech - II Semester,  20CS2P01,  COMPUTER PROGRAMMING LAB, CP LAB,S,3
174,21PA1A0105,I B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 7
175,21PA1A0105,II B.Tech - I Semester,  20CE3T02,  Fluid Mechanics, FM,D,3
176,21PA1A0105,II B.Tech - I Semester,  20CE3T01,  Strength of Materials -I, SOM-I,C,3
177,21PA1A0105,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
178,21PA1A0105,II B.Tech - I Semester,  20BS3T01,  Mathematics - III (Complex variables & PDE), M-III (CV&PDE),F,0
179,21PA1A0105,II B.Tech - I Semester,  20CE3P03,  Surveying Field Work Lab, SFW Lab,B,1.5
180,21PA1A0105,II B.Tech - I Semester,  20CE3T03,  Surveying, SUR,C,3
181,21PA1A0105,II B.Tech - I Semester,  20CE3P02,  Highway Engineering Lab, HE Lab,B,1.5
182,21PA1A0105,II B.Tech - I Semester,  20CE3P01,  Concrete Technology Lab, CT Lab,A,1.5
183,21PA1A0105,II B.Tech - I Semester,  20CE3P04,  Building & Earth Science, B&ES,A,2
184,21PA1A0105,II B.Tech - I Semester,  20CE3T04,  Highway Engineering, HE,D,3
185,21PA1A0105,II B.Tech - I Semester,0,0,0,0,Estimated Semester Grade Point Average(SGPA) : 6.22
186,21PA1A0105,II B.Tech - II Semester,  20BS4T01,"  Mathematics-IV (Numerical Methods, Probability & Statistics)", M-IV,A,3
187,21PA1A0105,II B.Tech - II Semester,  20CE4T01,  Strength of Materials -II, SOM-II,D,3
188,21PA1A0105,II B.Tech - II Semester,  20CE4T02,  Hydraulics and Hydraulic Machinery, HHM,C,3
189,21PA1A0105,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
190,21PA1A0105,II B.Tech - II Semester,  20CE4T03,  Environmental Engineering, EE,D,3
191,21PA1A0105,II B.Tech - II Semester,  20CE4P03,  Fluid Mechanics & Hydraulics Machinery Lab, FM & HM Lab,C,1.5
192,21PA1A0105,II B.Tech - II Semester,  20CE4P01,  Environmental Engineering Lab, EE Lab,A,1.5
193,21PA1A0105,II B.Tech - II Semester,  20CE4P04,  Advanced Construction Planning, ACP,B,2
194,21PA1A0105,II B.Tech - II Semester,  20CE4P02,  Strength of Materials Lab, SOM Lab,A,1.5
195,21PA1A0105,II B.Tech - II Semester,  20CE4J01,  Community Service Project, CSP,S,4
196,21PA1A0105,II B.Tech - II Semester,  20HS4T01,  Universal Human Values II, UHV-II,C,3
197,21PA1A0105,II B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 6.78
198,21PA1A0106,I B.Tech - I Semester,  20BS1T02,  MATHEMATICS-I (LINEAR ALGEBRA & CALCULUS), M-I,F,0
199,21PA1A0106,I B.Tech - I Semester,  20BS1T01,  COMMUNICATIVE ENGLISH, CE,D,3
200,21PA1A0106,I B.Tech - I Semester,  20CS1T01,  COMPUTATIONAL THINKING & PROGRAMMING, CT&P,D,3
201,21PA1A0106,I B.Tech - I Semester,  20BS1T03,  ENGINEERING PHYSICS, EP,C,3
202,21PA1A0106,I B.Tech - I Semester,  20ME1T01,  ENGINEERING GRAPHICS, EG,D,3
203,21PA1A0106,I B.Tech - I Semester,  20BS1P02,  ENGINEERING PHYSICS LAB, EP Lab,B,1.5
204,21PA1A0106,I B.Tech - I Semester,  20BS1P01,  ENGLISH COMMUNICATION SKILLS LAB, ECS Lab,A,1.5
205,21PA1A0106,I B.Tech - I Semester,  20CS1P01,  COMPUTATIONAL THINKING & PROGRAMMING LAB, CT&P Lab,A,1.5
206,21PA1A0106,I B.Tech - I Semester,0,0,0,0,Estimated Semester Grade Point Average(SGPA) : 5.91
207,21PA1A0106,I B.Tech - II Semester,  20BS2T01,  MATHEMATICS-II (VECTOR CALCULUS & TRANSFORM CALCULUS), M-II,D,3
208,21PA1A0106,I B.Tech - II Semester,  20BS2T02,  ENGINEERING CHEMISTRY, EG,C,3
209,21PA1A0106,I B.Tech - II Semester,  20CE2T02,  ENGINEERING MECHANICS, EM,C,3
210,21PA1A0106,I B.Tech - II Semester,  20CE2P01,  BUILDING PLANNING & COMPUTER AIDED BUILDING DRAWING, BP&CABD,A,1.5
211,21PA1A0106,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
212,21PA1A0106,I B.Tech - II Semester,  20CE2T01,  BUILDING MATERIAL AND CONCRETE TECHNOLOGY, BM&CT,D,3
213,21PA1A0106,I B.Tech - II Semester,  20ME2P01,  ENGINEERING WORKSHOP, EW,S,1.5
214,21PA1A0106,I B.Tech - II Semester,  20BS2P01,  ENGINEERING CHEMISTRY LAB, EC LAB,A,1.5
215,21PA1A0106,I B.Tech - II Semester,  20CS2P01,  COMPUTER PROGRAMMING LAB, CP LAB,S,3
216,21PA1A0106,I B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 6.69
217,21PA1A0106,II B.Tech - I Semester,  20CE3T02,  Fluid Mechanics, FM,F,0
218,21PA1A0106,II B.Tech - I Semester,  20CE3T01,  Strength of Materials -I, SOM-I,C,3
219,21PA1A0106,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
220,21PA1A0106,II B.Tech - I Semester,  20BS3T01,  Mathematics - III (Complex variables & PDE), M-III (CV&PDE),F,0
221,21PA1A0106,II B.Tech - I Semester,  20CE3P03,  Surveying Field Work Lab, SFW Lab,A,1.5
222,21PA1A0106,II B.Tech - I Semester,  20CE3T03,  Surveying, SUR,A,3
223,21PA1A0106,II B.Tech - I Semester,  20CE3P02,  Highway Engineering Lab, HE Lab,B,1.5
224,21PA1A0106,II B.Tech - I Semester,  20CE3P01,  Concrete Technology Lab, CT Lab,S,1.5
225,21PA1A0106,II B.Tech - I Semester,  20CE3P04,  Building & Earth Science, B&ES,S,2
226,21PA1A0106,II B.Tech - I Semester,  20CE3T04,  Highway Engineering, HE,C,3
227,21PA1A0106,II B.Tech - I Semester,0,0,0,0,Estimated Semester Grade Point Average(SGPA) : 7.35
228,21PA1A0106,II B.Tech - II Semester,  20BS4T01,"  Mathematics-IV (Numerical Methods, Probability & Statistics)", M-IV,B,3
229,21PA1A0106,II B.Tech - II Semester,  20CE4T01,  Strength of Materials -II, SOM-II,C,3
230,21PA1A0106,II B.Tech - II Semester,  20CE4T02,  Hydraulics and Hydraulic Machinery, HHM,F,0
231,21PA1A0106,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
232,21PA1A0106,II B.Tech - II Semester,  20CE4T03,  Environmental Engineering, EE,B,3
233,21PA1A0106,II B.Tech - II Semester,  20CE4P03,  Fluid Mechanics & Hydraulics Machinery Lab, FM & HM Lab,D,1.5
234,21PA1A0106,II B.Tech - II Semester,  20CE4P01,  Environmental Engineering Lab, EE Lab,S,1.5
235,21PA1A0106,II B.Tech - II Semester,  20CE4P04,  Advanced Construction Planning, ACP,A,2
236,21PA1A0106,II B.Tech - II Semester,  20CE4P02,  Strength of Materials Lab, SOM Lab,A,1.5
237,21PA1A0106,II B.Tech - II Semester,  20CE4J01,  Community Service Project, CSP,A,4
238,21PA1A0106,II B.Tech - II Semester,  20HS4T01,  Universal Human Values II, UHV-II,A,3
239,21PA1A0106,II B.Tech - II Semester,0,0,0,0,Estimated Semester Grade Point Average(SGPA) : 7.33
